as a|as_a
for the|for_the
to be|to_be
in the|in_the
and a|and_a
of the|of_the
at the|at_the
to a|to_a
was a|was_a
and the|and_the
for the|for_the
on a|on_a
and the|and_the
in a|in_a
on the|on_the
be a|be_a
to be|to_be
to be|to_be
and i|and_i
at the|at_the
to the|to_the
thanks for|thanks_for
with the|with_the
it is|it_is
with the|with_the
i have|i_have
it was|it_was
i was|i_was
had a|had_a
at the|at_the
from the|from_the
from the|from_the
i love|i_love
i am|i_am
going to|going_to
that i|that_i
he said|he_said
if you|if_you
thank you|thank_you
like a|like_a
i have|i_have
would be|would_be
is a|is_a
its a|its_a
one of|one_of
of the|of_the
this is|this_is
i dont|i_dont
is the|is_the
i am|i_am
by the|by_the
at a|at_a
if you|if_you
to get|to_get
that the|that_the
to see|to_see
that the|that_the
it was|it_was
will be|will_be
will be|will_be
one of|one_of
for a|for_a
but i|but_i
the first|the_first
want to|want_to
i think|i_think
i was|i_was
will be|will_be
to get|to_get
in the|in_the
more than|more_than
is the|is_the
by the|by_the
thanks for the|thanks_for_the
of my|of_my
a great|a_great
to do|to_do
i just|i_just
a few|a_few
are you|are_you
i had|i_had
he was|he_was
you are|you_are
has a|has_a
have to|have_to
have to|have_to
going to|going_to
want to|want_to
from a|from_a
all the|all_the
said the|said_the
out of|out_of
and i|and_i
have been|have_been
when i|when_i
you can|you_can
get a|get_a
i dont|i_dont
need to|need_to
to make|to_make
in my|in_my
the first|the_first
i think|i_think
it was|it_was
as the|as_the
a little|a_little
has been|has_been
the same|the_same
not a|not_a
i know|i_know
do you|do_you
i can|i_can
so i|so_i
is the|is_the
into a|into_a
you have|you_have
the best|the_best
but i|but_i
with the|with_the
going to|going_to
all the|all_the
there is|there_is
by a|by_a
so much|so_much
a lot|a_lot
can be|can_be
they are|they_are
a good|a_good
according to|according_to
to go|to_go
as the|as_the
to get|to_get
out of|out_of
to do|to_do
into the|into_the
such a|such_a
have been|have_been
i cant|i_cant
it is|it_is
cant wait|cant_wait
to see|to_see
that is|that_is
in my|in_my
on my|on_my
said he|said_he
there are|there_are
to have|to_have
about the|about_the
has been|has_been
and then|and_then
i can|i_can
during the|during_the
right now|right_now
of my|of_my
it is|it_is
is not|is_not
make a|make_a
into the|into_the
you can|you_can
one of|one_of
just a|just_a
you know|you_know
i will|i_will
out of|out_of
this is|this_is
to make|to_make
she said|she_said
the same|the_same
about the|about_the
as i|as_i
i need|i_need
over the|over_the
and the|and_the
love you|love_you
a lot|a_lot
i want|i_want
but the|but_the
